title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
Hereditary,2018,127,"Drama, Horror, Mystery",7.3,Ari Aster,343335,$44.07M,hereditary,2018.0,7.0,8.0,1838.857142857143,0.8571428571428571,5.857142857142857,0.014724217395596576,0.8571428571428571,0.0,0.0,0,12.746464838497838
It I,2017,135,Horror,7.3,Andy Muschietti,571035,$327.48M,it i,2017.0,9.0,7.0,1363.0,0.8888888888888888,4.555555555555555,0.03384576007354047,0.6666666666666666,0.0,0.1111111111111111,0,13.255207533936215
Split IX,2016,117,"Horror, Thriller",7.3,M. Night Shyamalan,519308,$138.29M,split ix,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.16025436070476
Doctor Sleep,2019,152,"Drama, Fantasy, Horror",7.3,Mike Flanagan,202482,$31.58M,doctor sleep,2019.0,7.0,6.285714285714286,3430.0,0.8571428571428571,9.428571428571429,0.013026318712186872,0.5714285714285714,0.2857142857142857,0.14285714285714285,0,12.218411211387396
Dawn of the Dead,2004,101,"Action, Horror",7.3,Zack Snyder,263099,$59.02M,dawn of the dead,2004.0,4.0,7.0,1396.5,1.0,7.0,0.04230284208545078,0.75,0.0,0.25,0,12.480289467028385
Possession,1981,124,"Drama, Horror",7.3,Andrzej Zulawski,36874,$1.11M,possession,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.51528909364212
Poltergeist,1982,114,"Horror, Thriller",7.3,Tobe Hooper,170924,$76.61M,poltergeist,1982.0,5.0,7.4,1933.0,1.0,8.0,0.022386268393339005,0.6,0.4,0.0,0,12.048980142781994
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama, Horror, Musical",7.3,Tim Burton,376557,$52.90M,sweeney todd: the demon barber of fleet street,2007.0,1.0,7.0,1454.0,1.0,1.0,0.004048582995951417,1.0,0.0,0.0,0,12.838827364822338
Gremlins,1984,106,"Comedy, Fantasy, Horror",7.3,Joe Dante,234614,$148.17M,gremlins,1984.0,5.0,6.6,584.0,1.0,3.6,0.030218777424990535,0.4,0.6,0.0,0,12.365701151776452
The Conjuring 2,2016,134,"Horror, Mystery, Thriller",7.3,James Wan,282543,$102.47M,the conjuring 2,2016.0,7.0,5.714285714285714,1243.857142857143,0.7142857142857143,3.857142857142857,0.01605561623350454,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,12.551589569652906
Sleepy Hollow,1999,105,"Fantasy, Horror, Mystery",7.3,Tim Burton,370303,$101.07M,sleepy hollow,1999.0,6.0,6.166666666666667,1597.5,0.8333333333333334,4.0,0.013389910931224963,0.5,0.3333333333333333,0.16666666666666666,0,12.822079568895752
Take Shelter,2011,120,"Drama, Horror, Sci-Fi",7.3,Jeff Nichols,103846,$1.73M,take shelter,2011.0,3.0,6.666666666666667,898.6666666666666,1.0,1.6666666666666667,0.01583652618135377,0.6666666666666666,0.3333333333333333,0.0,0,11.550673941068027
Eraserhead,1977,89,"Fantasy, Horror",7.3,David Lynch,121484,$7.00M,eraserhead,1977.0,3.0,8.0,1759.0,1.0,3.3333333333333335,0.015269594626946137,0.3333333333333333,0.0,0.0,0,11.7075460773512
Suspiria,1977,92,Horror,7.3,Dario Argento,98751,,suspiria,1977.0,3.0,9.0,1995.3333333333333,0.6666666666666666,5.0,0.007152970083996071,1.0,0.0,0.0,0,11.500366935722832
The Return of the Living Dead,1985,91,"Comedy, Horror, Sci-Fi",7.3,Dan O'Bannon,64592,$14.24M,the return of the living dead,1985.0,2.0,7.0,932.0,0.5,3.0,0.01079136690647482,1.0,0.0,0.0,0,11.075861324766292
Twin Peaks: Fire Walk with Me,1992,134,"Drama, Horror, Mystery",7.3,David Lynch,100656,$4.16M,twin peaks: fire walk with me,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.519473976587992
House,1977,88,"Comedy, Horror",7.3,Nobuhiko Ôbayashi,30498,,house,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.325449175172755
Pi,1998,84,"Drama, Horror, Mystery",7.3,Darren Aronofsky,182946,$3.22M,pi,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.116951772389976
The Hidden Face,2011,97,"Drama, Horror, Mystery",7.3,Andrés Baiz,44415,,the hidden face,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.701355043866476
Bacurau,2019,131,"Action, Adventure, Drama",7.3,Juliano Dornelles,29082,,bacurau,2019.0,2.0,5.0,1495.5,0.5,3.0,0.006024096385542169,0.5,0.0,0.5,0,10.27790909001283
The Menu,2022,107,"Comedy, Horror, Thriller",7.2,Mark Mylod,323131,,the menu,2022.0,10.0,6.2,1105.6,0.7,1.6,0.008379431293494822,0.6,0.2,0.2,0,12.685816187453122
From Dusk Till Dawn,1996,108,"Action, Crime, Horror",7.2,Robert Rodriguez,326069,$25.75M,from dusk till dawn,1996.0,4.0,7.5,1544.5,1.0,4.0,0.014614766367794574,0.5,0.5,0.0,0,12.694867361225342
The Lost Boys,1987,97,"Comedy, Horror",7.2,Joel Schumacher,150478,$32.22M,the lost boys,1987.0,1.0,7.0,2608.0,1.0,9.0,0.019955654101995565,1.0,0.0,0.0,0,11.921578818551449
A Quiet Place Part II,2020,97,"Drama, Horror, Sci-Fi",7.2,John Krasinski,248967,$160.07M,a quiet place part ii,2020.0,9.0,7.142857142857143,1813.888888888889,0.7777777777777778,4.111111111111111,0.013851829249971524,0.6666666666666666,0.1111111111111111,0.0,0,12.42507965313198
The Descent,2005,99,"Adventure, Horror, Thriller",7.2,Neil Marshall,233687,$26.02M,the descent,2005.0,1.0,7.0,1742.0,1.0,3.0,0.010169491525423728,1.0,0.0,0.0,0,12.361742171326702
They Live,1988,94,"Action, Horror, Sci-Fi",7.2,John Carpenter,136510,$13.01M,they live,1988.0,3.0,8.666666666666666,1795.0,1.0,1.6666666666666667,0.005095129593518117,1.0,0.0,0.0,0,11.824160476440854
I Am Legend,2007,101,"Action, Drama, Horror",7.2,Francis Lawrence,781259,$256.39M,i am legend,2007.0,4.0,5.75,780.5,0.75,2.25,0.011250285777411115,0.75,0.0,0.25,0,13.56866327995083
10 Cloverfield Lane,2016,103,"Drama, Horror, Mystery",7.2,Dan Trachtenberg,340537,$72.08M,10 cloverfield lane,2016.0,5.0,7.6,1493.6,0.8,3.6,0.01344899871725284,0.8,0.2,0.0,0,12.738281998932193
Dead Ringers,1988,116,"Drama, Horror, Thriller",7.2,David Cronenberg,50992,$9.13M,dead ringers,1988.0,3.0,7.166666666666667,798.6666666666666,0.6666666666666666,4.0,0.023964621488580428,0.6666666666666666,0.0,0.3333333333333333,0,10.839443647384186
Angel Heart,1987,113,"Horror, Mystery, Thriller",7.2,Alan Parker,91791,$17.19M,angel heart,1987.0,1.0,7.0,1766.0,0.0,0.0,0.0,1.0,0.0,0.0,0,11.427280426841651
An American Crime,2007,98,"Biography, Crime, Drama",7.2,Tommy O'Haver,35826,,an american crime,2007.0,2.0,5.0,365.5,0.5,0.5,0.004761904761904762,0.0,0.5,0.0,0,10.486457078074604
Videodrome,1983,87,"Horror, Sci-Fi, Thriller",7.2,David Cronenberg,97693,$2.12M,videodrome,1983.0,1.0,6.0,1554.0,0.0,0.0,0.0,0.0,1.0,0.0,0,11.489595423657844
Re-Animator,1985,84,"Comedy, Horror, Sci-Fi",7.2,Stuart Gordon,68040,$2.02M,re-animator,1985.0,2.0,8.0,835.5,1.0,4.0,0.024078194532739988,0.5,0.5,0.0,0,11.127865743638715
Only Lovers Left Alive,2013,123,"Comedy, Drama, Fantasy",7.2,Jim Jarmusch,104159,$1.88M,only lovers left alive,2013.0,1.0,8.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0,11.553683457442396
The Changeling,1980,107,"Horror, Mystery",7.2,Peter Medak,37163,,the changeling,1980.0,2.0,7.5,2489.5,1.0,11.5,0.02709458888390448,0.5,0.5,0.0,0,10.523095829761203
Ringu,1998,96,"Horror, Mystery",7.2,Hideo Nakata,73508,,ringu,1998.0,1.0,0.0,316.0,1.0,4.0,0.07272727272727272,0.0,0.0,0.0,0,11.205163126684255
The Dead Zone,1983,103,"Drama, Horror, Sci-Fi",7.2,David Cronenberg,73727,$20.77M,the dead zone,1983.0,3.0,7.666666666666667,628.0,1.0,1.3333333333333333,0.012295831293016085,0.6666666666666666,0.3333333333333333,0.0,0,11.208137924615508
Sleep Tight,2011,102,"Crime, Drama, Horror",7.2,Jaume Balagueró,44718,,sleep tight,2011.0,3.0,8.0,131.66666666666666,0.3333333333333333,0.3333333333333333,0.025641025641025644,1.0,0.0,0.0,0,10.708153746219391
Horror of Dracula,1958,82,"Drama, Horror",7.2,Terence Fisher,26472,,horror of dracula,1958.0,3.0,7.0,1882.0,1.0,6.666666666666667,0.017949198176600924,0.6666666666666666,0.3333333333333333,0.0,0,10.183880624651032
The Wolf Man,1941,70,"Horror, Mystery, Romance",7.2,George Waggner,28724,,the wolf man,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.265523102716957
Midsommar,2019,148,"Drama, Horror, Mystery",7.1,Ari Aster,354167,$27.33M,midsommar,2019.0,10.0,6.444444444444445,2890.4,0.8,5.7,0.013162112679621368,0.5,0.4,0.0,0,12.777526655811394
The Ring,2002,115,"Horror, Mystery",7.1,Gore Verbinski,360824,$129.13M,the ring,2002.0,1.0,8.0,2379.0,1.0,16.0,0.037296037296037296,1.0,0.0,0.0,0,12.796148355235765
Prey I,2022,100,"Action, Adventure, Drama",7.1,Dan Trachtenberg,207940,,prey i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.24500966459994
The Mist,2007,126,"Horror, Sci-Fi, Thriller",7.1,Frank Darabont,323435,$25.59M,the mist,2007.0,3.0,8.666666666666666,2618.6666666666665,1.0,14.666666666666666,0.031048738952654906,1.0,0.0,0.0,0,12.686756537184012
Don't Breathe,2016,88,"Crime, Horror, Thriller",7.1,Fede Alvarez,286498,$89.22M,don't breathe,2016.0,5.0,7.0,2174.0,0.8,6.8,0.02018593247205544,0.4,0.0,0.0,0,12.565490324729444
Little Shop of Horrors,1986,94,"Comedy, Horror, Musical",7.1,Frank Oz,80770,$38.75M,little shop of horrors,1986.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.299373269194168
Blade,1998,120,"Action, Horror, Sci-Fi",7.1,Stephen Norrington,285069,$70.09M,blade,1998.0,7.0,7.166666666666667,1024.4285714285713,1.0,6.571428571428571,0.041000711172183124,0.5714285714285714,0.2857142857142857,0.0,0,12.560490043127686
Bone Tomahawk,2015,132,"Drama, Horror, Western",7.1,S. Craig Zahler,107954,,bone tomahawk,2015.0,4.0,7.666666666666667,1807.5,1.0,4.0,0.011689564027986921,0.75,0.0,0.0,0,11.589469752610015
The Invisible Man I,2020,124,"Drama, Horror, Mystery",7.1,Leigh Whannell,238588,$70.41M,the invisible man i,2020.0,10.0,5.222222222222222,2202.0,0.6,5.5,0.04478175290577617,0.4,0.1,0.4,0,12.38249768532001
Tremors,1990,96,"Comedy, Horror",7.1,Ron Underwood,143452,$16.67M,tremors,1990.0,9.0,7.333333333333333,799.8888888888889,0.7777777777777778,3.0,0.020717004079127452,0.7777777777777778,0.2222222222222222,0.0,0,11.87376273440101
Planet Terror,2007,105,"Action, Comedy, Horror",7.1,Robert Rodriguez,217087,,planet terror,2007.0,2.0,5.0,2685.0,1.0,13.0,0.03196505875077303,0.0,1.0,0.0,0,12.288058080271465
