title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
Troll Hunter,2010,103,"Drama, Fantasy, Horror",6.9,André Øvredal,77389,$0.25M,troll hunter,2010.0,3.0,7.5,502.3333333333333,0.3333333333333333,1.3333333333333333,0.01075268817204301,0.6666666666666666,0.0,0.0,0,11.256612852264505
Shadow of the Vampire,2000,92,"Drama, Horror",6.9,E. Elias Merhige,43072,$8.29M,shadow of the vampire,2000.0,1.0,6.0,833.0,1.0,3.0,0.0196078431372549,0.0,1.0,0.0,0,10.67065162967397
Frankenweenie,2012,87,"Animation, Comedy, Drama",6.9,Tim Burton,112066,$35.29M,frankenweenie,2012.0,2.0,7.0,978.5,1.0,1.5,0.009279147693100781,1.0,0.0,0.0,0,11.626852185704108
Bhoot Police,2021,129,"Comedy, Horror",6.9,Pavan Kirpalani,26993,,bhoot police,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.203369898069226
Nope,2022,130,"Horror, Mystery, Sci-Fi",6.8,Jordan Peele,232097,$123.28M,nope,2022.0,10.0,5.888888888888889,981.2,0.7,1.9,0.015007597826854315,0.5,0.1,0.3,0,12.35491497524996
Bones and All,2022,131,"Drama, Horror, Romance",6.8,Luca Guadagnino,43064,,bones and all,2022.0,6.0,8.166666666666666,1045.3333333333333,0.8333333333333334,2.0,0.013907375408728677,1.0,0.0,0.0,0,10.670465881223274
Ready or Not I,2019,95,"Action, Comedy, Horror",6.8,Matt Bettinelli-Olpin,164600,$28.71M,ready or not i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.011279642540796
Insidious I,2010,103,"Horror, Mystery, Thriller",6.8,James Wan,319707,$54.01M,insidious i,2010.0,2.0,7.5,1868.0,0.5,6.5,0.01014040561622465,1.0,0.0,0.0,0,12.675163358194345
It Follows,2014,100,"Horror, Mystery, Thriller",6.8,David Robert Mitchell,253503,$14.67M,it follows,2014.0,4.0,7.666666666666667,1089.75,1.0,7.0,0.03380372612005057,0.75,0.0,0.0,0,12.443134880981589
Annihilation I,2018,115,"Adventure, Drama, Horror",6.8,Alex Garland,340306,$32.73M,annihilation i,2018.0,5.0,7.2,720.4,1.0,1.6,0.01863589623325247,0.6,0.4,0.0,0,12.737603430362654
Sinister,2012,110,"Horror, Mystery, Thriller",6.8,Scott Derrickson,264038,$48.09M,sinister,2012.0,3.0,6.0,1804.3333333333333,1.0,12.666666666666666,0.03689849290230918,0.0,0.3333333333333333,0.0,0,12.483852098490582
Us II,2019,116,"Horror, Mystery, Thriller",6.8,Jordan Peele,316383,$175.08M,us ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.66471194469686
The House That Jack Built,2018,152,"Crime, Drama, Horror",6.8,Lars von Trier,83053,$0.09M,the house that jack built,2018.0,2.0,6.5,9197.5,1.0,17.5,0.007641302932090374,0.5,0.5,0.0,0,11.327246277638377
The Babadook,2014,94,"Horror, Mystery",6.8,Jennifer Kent,234393,$0.92M,the babadook,2014.0,4.0,7.5,1345.5,1.0,8.25,0.03307007801743844,0.75,0.25,0.0,0,12.364758739087755
The Autopsy of Jane Doe,2016,86,"Horror, Mystery, Thriller",6.8,André Øvredal,127065,$0.01M,the autopsy of jane doe,2016.0,6.0,7.166666666666667,800.0,0.8333333333333334,5.666666666666667,0.039514420294071616,0.8333333333333334,0.16666666666666666,0.0,0,11.752461915490594
Warm Bodies,2013,98,"Comedy, Horror, Romance",6.8,Jonathan Levine,236475,$66.38M,warm bodies,2013.0,2.0,7.0,1131.0,1.0,8.5,0.03811120140864147,1.0,0.0,0.0,0,12.373602001849257
Hellboy,2004,122,"Action, Adventure, Fantasy",6.8,Guillermo del Toro,338908,$59.62M,hellboy,2004.0,3.0,7.333333333333333,957.6666666666666,0.3333333333333333,1.6666666666666667,0.004604051565377532,1.0,0.0,0.0,0,12.73348691374887
Odd Thomas,2013,97,"Comedy, Fantasy, Horror",6.8,Stephen Sommers,55393,,odd thomas,2013.0,1.0,8.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0,10.922226563621058
Exam,2009,101,"Crime, Horror, Mystery",6.8,Stuart Hazeldine,120312,,exam,2009.0,4.0,6.166666666666667,326.25,0.0,0.0,0.0,0.5,0.0,0.25,0,11.697851959299761
1408,2007,104,"Fantasy, Horror, Mystery",6.8,Mikael Håfström,282365,$71.99M,1408,2007.0,4.0,7.0,683.0,0.5,3.25,0.017617802620507272,0.5,0.5,0.0,0,12.550959380752404
The Fog,1980,89,"Horror, Thriller",6.8,John Carpenter,78302,$21.38M,the fog,1980.0,3.0,8.0,1909.0,1.0,7.666666666666667,0.036483700049591526,0.6666666666666666,0.0,0.0,0,11.26834119542117
Creepshow,1982,120,"Comedy, Fantasy, Horror",6.8,George A. Romero,50496,$21.03M,creepshow,1982.0,2.0,6.5,325.0,1.0,2.0,0.042674731182795696,0.5,0.5,0.0,0,10.829669207558254
Ginger Snaps,2000,108,"Drama, Fantasy, Horror",6.8,John Fawcett,49563,$0.00M,ginger snaps,2000.0,1.0,6.0,1247.0,1.0,3.0,0.014563106796116505,0.0,1.0,0.0,0,10.811020042736384
The Witches,1990,91,"Adventure, Comedy, Family",6.8,Nicolas Roeg,52433,$10.36M,the witches,1990.0,1.0,6.0,1103.0,1.0,2.0,0.010256410256410256,0.0,1.0,0.0,0,10.8673105148556
eXistenZ,1999,97,"Horror, Mystery, Sci-Fi",6.8,David Cronenberg,103653,$2.84M,existenz,1999.0,2.0,4.5,1050.0,0.5,1.5,0.005535055350553505,0.5,0.0,0.5,0,11.548813708532707
Dog Soldiers,2002,105,"Action, Horror, Thriller",6.8,Neil Marshall,62964,,dog soldiers,2002.0,3.0,8.0,535.0,1.0,2.6666666666666665,0.0478445165945166,0.6666666666666666,0.0,0.0,0,11.050334295439947
Dead Calm,1989,96,"Horror, Thriller",6.8,Phillip Noyce,42222,$7.83M,dead calm,1989.0,2.0,7.0,1544.0,0.5,6.0,0.011695906432748537,0.5,0.5,0.0,0,10.650720375249316
Shin Godzilla,2016,120,"Action, Drama, Horror",6.8,Hideaki Anno,29845,$1.92M,shin godzilla,2016.0,1.0,0.0,7537.0,1.0,27.0,0.02339688041594454,0.0,0.0,0.0,0,10.303806106491413
Zombie,1979,91,Horror,6.8,Lucio Fulci,29370,,zombie,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.287763071961688
The Brood,1979,92,"Horror, Sci-Fi",6.8,David Cronenberg,32397,,the brood,1979.0,3.0,6.333333333333333,1650.0,1.0,3.3333333333333335,0.011664780755828026,0.3333333333333333,0.6666666666666666,0.0,0,10.385851971480083
Night of the Living Dead,1990,92,Horror,6.8,Tom Savini,43906,$5.84M,night of the living dead,1990.0,1.0,7.0,1228.0,1.0,10.0,0.045662100456621,1.0,0.0,0.0,0,10.689829039654898
House on Haunted Hill,1959,75,"Crime, Horror, Mystery",6.8,William Castle,29039,,house on haunted hill,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.276429468938732
Stonehearst Asylum,2014,112,"Drama, Horror, Mystery",6.8,Brad Anderson,58532,,stonehearst asylum,2014.0,1.0,8.0,1658.0,1.0,5.0,0.01773049645390071,1.0,0.0,0.0,0,10.97734597673801
Under the Shadow,2016,84,"Drama, Fantasy, Horror",6.8,Babak Anvari,28891,$0.03M,under the shadow,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.271320019170737
Dead Snow 2: Red vs. Dead,2014,100,"Action, Comedy, Fantasy",6.8,Tommy Wirkola,25807,,dead snow 2: red vs. dead,2014.0,1.0,2.0,1643.0,1.0,12.0,0.03934426229508197,0.0,0.0,1.0,0,10.15843980036499
Evil Dead Rise,2023,96,Horror,6.7,Lee Cronin,78836,,evil dead rise,2023.0,8.0,5.166666666666667,1269.125,1.0,8.25,0.04914321404507518,0.375,0.125,0.25,0,11.27513770879229
Suspiria I,2018,152,"Drama, Fantasy, Horror",6.7,Luca Guadagnino,84786,$2.47M,suspiria i,2018.0,3.0,9.0,1995.3333333333333,0.6666666666666666,5.0,0.007152970083996071,1.0,0.0,0.0,0,11.347897508141267
Eden Lake,2008,91,"Horror, Thriller",6.7,James Watkins,89408,$0.01M,eden lake,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.400976627235545
Final Destination,2000,98,"Horror, Thriller",6.7,James Wong,266158,$53.33M,final destination,2000.0,6.0,8.166666666666666,1441.3333333333333,0.6666666666666666,5.166666666666667,0.01709451838855357,0.8333333333333334,0.16666666666666666,0.0,0,12.491849153546736
Fresh,2022,114,"Horror, Thriller",6.7,Mimi Cave,63592,,fresh,2022.0,4.0,7.0,862.75,0.75,2.75,0.014569877152988854,0.5,0.25,0.0,0,11.060258680377768
Zombieland: Double Tap,2019,99,"Action, Comedy, Horror",6.7,Ruben Fleischer,189496,$73.12M,zombieland: double tap,2019.0,4.0,5.5,3505.0,0.75,5.0,0.013805594863102595,0.5,0.25,0.25,0,12.15212847224474
The Devil's Rejects,2005,107,"Crime, Horror, Western",6.7,Rob Zombie,103048,$17.04M,the devil's rejects,2005.0,2.0,5.5,1691.0,1.0,7.0,0.018555355920602326,0.5,0.0,0.5,0,11.54295988224435
Pandorum,2009,108,"Action, Horror, Mystery",6.7,Christian Alvart,155042,$10.33M,pandorum,2009.0,2.0,6.0,914.5,1.0,1.5,0.013031084566309217,0.5,0.5,0.0,0,11.951457776782588
Christine,1983,110,"Horror, Thriller",6.7,John Carpenter,87453,$21.20M,christine,1983.0,5.0,8.6,2581.2,1.0,5.4,0.011211942017430207,1.0,0.0,0.0,0,11.378868219823786
Marrowbone,2017,110,"Adventure, Drama, Horror",6.7,Sergio G. Sánchez,35303,$0.00M,marrowbone,2017.0,4.0,7.5,1277.75,0.75,5.0,0.0224803343166175,0.75,0.25,0.0,0,10.471751550949383
The Gift,2000,111,"Drama, Fantasy, Horror",6.7,Sam Raimi,72059,$12.01M,the gift,2000.0,1.0,7.0,1261.0,1.0,2.0,0.008928571428571428,1.0,0.0,0.0,0,11.185254384302084
Blade II,2002,117,"Action, Horror, Sci-Fi",6.7,Guillermo del Toro,225970,$82.35M,blade ii,2002.0,6.0,7.5,1112.8333333333333,0.8333333333333334,6.333333333333333,0.023633738029157667,0.8333333333333334,0.16666666666666666,0.0,0,12.328161951436819
High Tension,2003,91,Horror,6.7,Alexandre Aja,74795,$3.68M,high tension,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.22251968659685
Candyman,1992,99,"Horror, Thriller",6.7,Bernard Rose,95591,$25.79M,candyman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.46784441352959
Return to Oz,1985,113,"Adventure, Family, Fantasy",6.7,Walter Murch,28909,,return to oz,1985.0,2.0,6.0,1352.0,0.5,0.5,0.0020325203252032522,0.0,1.0,0.0,0,10.271942835010393
Saint Maud,2019,84,"Drama, Horror, Mystery",6.7,Rose Glass,41913,,saint maud,2019.0,3.0,8.333333333333334,4304.666666666667,1.0,6.333333333333333,0.013626702571476523,1.0,0.0,0.0,0,10.643375178979888
From Hell,2001,122,"Horror, Mystery, Thriller",6.7,Albert Hughes,159793,$31.60M,from hell,2001.0,4.0,7.5,1247.75,0.75,3.75,0.016579340200029855,1.0,0.0,0.0,0,11.98164076467574
Fear Street: Part Two - 1978,2021,109,"Drama, Horror, Mystery",6.7,Leigh Janiak,69358,,fear street: part two - 1978,2021.0,1.0,8.0,922.0,1.0,9.0,0.05172413793103448,1.0,0.0,0.0,0,11.147051193818772
Scanners,1981,103,"Horror, Sci-Fi, Thriller",6.7,David Cronenberg,58736,$14.23M,scanners,1981.0,1.0,7.0,1784.0,1.0,1.0,0.003115264797507788,1.0,0.0,0.0,0,10.980825130925382
The Exorcism of Emily Rose,2005,119,"Drama, Horror, Thriller",6.7,Scott Derrickson,134571,$75.07M,the exorcism of emily rose,2005.0,2.0,6.5,3729.0,1.0,16.0,0.024223980523432744,0.5,0.0,0.5,0,11.809854650778673
Summer of 84,2018,105,"Drama, Horror, Mystery",6.7,François Simard,43321,$0.09M,summer of 84,2018.0,2.0,6.5,647.0,0.0,0.0,0.0,0.5,0.5,0.0,0,10.676415868100923
Inside,2007,82,Horror,6.7,Alexandre Bustillo,42811,,inside,2007.0,2.0,5.5,665.0,1.0,3.5,0.02568181818181818,0.5,0.0,0.5,0,10.664573716104266
Trick 'r Treat,2007,82,"Comedy, Horror",6.7,Michael Dougherty,97225,,trick 'r treat,2007.0,3.0,7.666666666666667,704.3333333333334,0.6666666666666666,2.0,0.06253635834787667,1.0,0.0,0.0,0,11.48479344439147
Phenomena,1985,116,"Crime, Horror, Mystery",6.7,Dario Argento,28456,,phenomena,1985.0,2.0,7.0,749.5,1.0,3.0,0.023809523809523808,0.5,0.5,0.0,0,10.2561494549844
Where the Wild Things Are,2009,101,"Adventure, Drama, Family",6.7,Spike Jonze,106812,$77.23M,where the wild things are,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.578834920947049
Goodnight Mommy,2014,99,"Horror, Mystery, Thriller",6.7,Severin Fiala,57113,$1.17M,goodnight mommy,2014.0,2.0,6.75,2291.5,0.5,7.5,0.01,0.5,0.5,0.0,0,10.95280454947936
Spring I,2014,109,"Horror, Romance, Sci-Fi",6.7,Justin Benson,29941,$0.05M,spring i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.307017456009781
Tales from the Crypt: Demon Knight,1995,92,"Action, Fantasy, Horror",6.7,Ernest R. Dickerson,25144,$21.09M,tales from the crypt: demon knight,1995.0,1.0,6.0,591.0,1.0,3.0,0.02830188679245283,0.0,1.0,0.0,0,10.132414348606066
Ju-on: The Grudge,2002,92,Horror,6.7,Takashi Shimizu,46324,$0.33M,ju-on: the grudge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.74343705115356
Turbo Kid,2015,93,"Action, Adventure, Comedy",6.7,François Simard,28926,$0.05M,turbo kid,2015.0,2.0,7.0,3782.5,1.0,3.5,0.0061254345077166455,0.5,0.0,0.0,0,10.272530694010324
Cronos,1992,94,"Drama, Fantasy, Horror",6.7,Guillermo del Toro,31873,$0.62M,cronos,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.369545909419578
Housebound,2014,107,"Comedy, Horror, Mystery",6.7,Gerard Johnstone,36448,,housebound,2014.0,1.0,7.0,2064.0,1.0,7.0,0.018276762402088774,1.0,0.0,0.0,0,10.503669302218212
Dark Water,2002,101,"Drama, Horror, Mystery",6.7,Hideo Nakata,33695,,dark water,2002.0,1.0,9.0,444.0,1.0,4.0,0.05555555555555555,1.0,0.0,0.0,0,10.425134414933702
Los ojos de Julia,2010,118,"Horror, Mystery, Thriller",6.7,Guillem Morales,36473,,los ojos de julia,2010.0,2.0,7.0,2188.0,1.0,11.5,0.027984275070877564,0.5,0.0,0.0,0,10.504354956976778
Fido,2006,93,"Comedy, Drama, Horror",6.7,Andrew Currie,29699,$0.30M,fido,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.298902324790792
X II,2022,105,"Horror, Mystery, Thriller",6.6,Ti West,132694,,x ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.795808540635296
Scream VI,2023,122,"Horror, Mystery, Thriller",6.6,Matt Bettinelli-Olpin,81797,,scream vi,2023.0,8.0,6.0,1236.875,0.875,2.5,0.013189268493201348,0.5,0.25,0.125,0,11.312008072414185
The Pale Blue Eye,2022,128,"Crime, Horror, Mystery",6.6,Scott Cooper,107713,,the pale blue eye,2022.0,1.0,6.0,1146.0,0.0,0.0,0.0,0.0,1.0,0.0,0,11.587234845411368
Bird Box,2018,124,"Horror, Mystery, Sci-Fi",6.6,Susanne Bier,360116,,bird box,2018.0,4.0,6.5,1075.75,1.0,2.0,0.011740868610911673,0.5,0.5,0.0,0,12.794184257631233
Mother!,2017,121,"Drama, Horror, Mystery",6.6,Darren Aronofsky,236605,$17.80M,mother!,2017.0,6.0,5.0,1128.1666666666667,0.6666666666666666,1.1666666666666667,0.0058209063182843995,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,12.374151589461011
Event Horizon,1997,96,"Horror, Sci-Fi, Thriller",6.6,Paul W.S. Anderson,188518,$26.67M,event horizon,1997.0,7.0,7.333333333333333,1226.142857142857,0.8571428571428571,4.857142857142857,0.020565778303763688,0.7142857142857143,0.14285714285714285,0.0,0,12.14695407654662
Speak No Evil,2022,97,"Drama, Horror, Thriller",6.6,Christian Tafdrup,27616,,speak no evil,2022.0,2.0,8.5,1028.0,1.0,3.5,0.01876172607879925,1.0,0.0,0.0,0,10.226186804119793
Life I,2017,104,"Horror, Sci-Fi, Thriller",6.6,Daniel Espinosa,240377,$30.23M,life i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.38996796331242
Resident Evil,2002,100,"Action, Horror, Sci-Fi",6.6,Paul W.S. Anderson,279094,$40.12M,resident evil,2002.0,6.0,7.5,766.6666666666666,0.8333333333333334,4.666666666666667,0.0372295687793584,0.8333333333333334,0.16666666666666666,0.0,0,12.539307504638039
You're Next,2011,95,"Horror, Thriller",6.6,Adam Wingard,104174,$18.47M,you're next,2011.0,7.0,7.428571428571429,1475.142857142857,0.8571428571428571,5.142857142857143,0.018913324268880014,0.8571428571428571,0.14285714285714285,0.0,0,11.553827456290653
The Faculty,1998,104,"Horror, Mystery, Sci-Fi",6.6,Robert Rodriguez,128887,$40.06M,the faculty,1998.0,3.0,6.333333333333333,1524.0,1.0,4.333333333333333,0.016005381753110077,0.6666666666666666,0.3333333333333333,0.0,0,11.766699089170823
Glass,2019,129,"Drama, Horror, Sci-Fi",6.6,M. Night Shyamalan,254065,$111.05M,glass,2019.0,6.0,7.25,2574.3333333333335,0.5,1.5,0.002689001424570847,0.5,0.16666666666666666,0.0,0,12.445349354767139
Drag Me to Hell,2009,99,Horror,6.6,Sam Raimi,210357,$42.10M,drag me to hell,2009.0,2.0,6.5,645.5,1.0,4.0,0.06197311460469355,0.5,0.5,0.0,0,12.25656612014715
30 Days of Night,2007,113,"Action, Adventure, Horror",6.6,David Slade,182693,$39.57M,30 days of night,2007.0,3.0,7.333333333333333,1838.0,0.6666666666666666,11.333333333333334,0.022785980368164885,0.6666666666666666,0.3333333333333333,0.0,0,12.115567901104335
What Lies Beneath,2000,130,"Drama, Horror, Mystery",6.6,Robert Zemeckis,130856,$155.46M,what lies beneath,2000.0,4.0,6.25,1289.25,0.75,3.25,0.010820695298088344,0.25,0.75,0.0,0,11.781860402897301
Death Becomes Her,1992,104,"Comedy, Fantasy, Horror",6.6,Robert Zemeckis,124437,$58.42M,death becomes her,1992.0,1.0,7.0,1353.0,1.0,1.0,0.004405286343612335,1.0,0.0,0.0,0,11.731562878879846
Child's Play,1988,87,"Horror, Thriller",6.6,Tom Holland,108877,$33.24M,child's play,1988.0,4.0,7.0,783.75,0.75,1.5,0.021231060606060607,0.5,0.25,0.0,0,11.597983268310202
The Invitation I,2015,100,"Drama, Horror, Mystery",6.6,Karyn Kusama,114221,$0.23M,the invitation i,2015.0,5.0,7.4,1314.4,0.8,1.8,0.009438136085866326,0.8,0.2,0.0,0,11.645899202133844
Happy Death Day,2017,96,"Comedy, Horror, Mystery",6.6,Christopher Landon,151732,$55.68M,happy death day,2017.0,5.0,6.75,677.0,1.0,3.4,0.03055323881588895,0.4,0.4,0.0,0,11.92987767628718
Overlord,2018,110,"Action, Horror, Sci-Fi",6.6,Julius Avery,102874,$21.70M,overlord,2018.0,4.0,7.0,500.0,0.75,2.25,0.020255509118541033,0.5,0.25,0.0,0,11.54126993797937
Hush I,2016,82,"Horror, Thriller",6.6,Mike Flanagan,144505,,hush i,2016.0,4.0,7.0,918.75,1.0,4.5,0.03046197239782108,0.75,0.25,0.0,0,11.881076308163939
Prince of Darkness,1987,102,Horror,6.6,John Carpenter,47009,$14.18M,prince of darkness,1987.0,2.0,7.0,1232.5,1.0,4.5,0.02118436468207477,1.0,0.0,0.0,0,10.758115624018176
Saw II,2005,93,"Horror, Mystery",6.6,Darren Lynn Bousman,260764,$87.04M,saw ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.471374897574693
From Beyond,1986,85,"Horror, Sci-Fi",6.6,Stuart Gordon,28213,$1.26M,from beyond,1986.0,1.0,6.0,1482.0,1.0,2.0,0.0076045627376425855,0.0,1.0,0.0,0,10.247573587634447
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy, Horror",6.6,Chuck Russell,85536,$44.79M,a nightmare on elm street 3: dream warriors,1987.0,2.0,7.5,440.5,1.0,1.0,0.01705780095610604,1.0,0.0,0.0,0,11.35670430985422
Hotel Transylvania 2,2015,89,"Animation, Adventure, Comedy",6.6,Genndy Tartakovsky,134482,$169.70M,hotel transylvania 2,2015.0,2.0,7.5,914.5,0.0,0.0,0.0,1.0,0.0,0.0,0,11.809193075983584
The Hunger,1983,97,"Drama, Horror",6.6,Tony Scott,27761,$5.98M,the hunger,1983.0,1.0,8.0,778.0,0.0,0.0,0.0,1.0,0.0,0.0,0,10.231423458135055
The Blob,1988,95,"Horror, Sci-Fi, Thriller",6.6,Chuck Russell,40349,$8.25M,the blob,1988.0,3.0,7.333333333333333,454.3333333333333,0.6666666666666666,2.3333333333333335,0.029389671361502348,0.6666666666666666,0.3333333333333333,0.0,0,10.605346673698095
The Loved Ones,2009,84,"Crime, Horror",6.6,Sean Byrne,42492,,the loved ones,2009.0,1.0,7.0,828.0,1.0,3.0,0.0196078431372549,1.0,0.0,0.0,0,10.657094635464652
Psycho II,1983,113,"Crime, Horror, Mystery",6.6,Richard Franklin,28989,$34.73M,psycho ii,1983.0,3.0,7.666666666666667,1045.0,0.3333333333333333,2.3333333333333335,0.0067243035542747355,1.0,0.0,0.0,0,10.274706221915702
May,2002,93,"Comedy, Drama, Horror",6.6,Lucky McKee,38779,$0.15M,may,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.565659928796643
Phantasm,1979,89,"Horror, Sci-Fi",6.6,Don Coscarelli,39050,$11.99M,phantasm,1979.0,2.0,0.0,1977.0,1.0,9.0,0.026478857309053305,0.0,0.0,0.0,0,10.57262376313457
Rare Exports,2010,84,"Adventure, Fantasy, Horror",6.6,Jalmari Helander,30491,$0.26M,rare exports,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.325219633108164
The Girl with All the Gifts,2016,111,"Action, Adventure, Drama",6.6,Colm McCarthy,62316,,the girl with all the gifts,2016.0,1.0,7.0,1508.0,1.0,3.0,0.010752688172043012,1.0,0.0,0.0,0,11.039989540746648
Fear Street: Part Three - 1666,2021,114,"Horror, Mystery",6.6,Leigh Janiak,57741,,fear street: part three - 1666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.963740090649603
Demons,1985,88,Horror,6.6,Lamberto Bava,25101,,demons,1985.0,4.0,7.5,695.75,1.0,4.5,0.03042142313546423,0.75,0.25,0.0,0,10.130702803220391
The Eye,2002,99,"Fantasy, Horror, Mystery",6.6,Danny Pang,29645,$0.51M,the eye,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.297082488073805
Smile V,2022,115,"Horror, Mystery, Thriller",6.5,Parker Finn,130696,,smile v,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.78063694602065
Evil Dead,2013,91,Horror,6.5,Fede Alvarez,187737,$54.24M,evil dead,2013.0,6.0,6.0,1934.3333333333333,1.0,7.833333333333333,0.02403410540709498,0.5,0.0,0.16666666666666666,0,12.142802652803452
It Chapter Two,2019,169,"Drama, Fantasy, Horror",6.5,Andy Muschietti,281137,$211.59M,it chapter two,2019.0,10.0,6.7,1389.9,0.8,2.6,0.011766863277500896,0.7,0.2,0.1,0,12.546600930967019
Gerald's Game,2017,103,"Drama, Horror, Thriller",6.5,Mike Flanagan,117039,,gerald's game,2017.0,1.0,7.0,498.0,0.0,0.0,0.0,1.0,0.0,0.0,0,11.670271035694006
The Hunt II,2020,90,"Action, Horror, Thriller",6.5,Craig Zobel,120400,$5.81M,the hunt ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.698583117470207
Silent Hill,2006,125,"Horror, Mystery",6.5,Christophe Gans,236727,$46.98M,silent hill,2006.0,1.0,9.0,91.0,1.0,1.0,0.06666666666666667,1.0,0.0,0.0,0,12.374667081704128
Antichrist,2009,108,"Drama, Horror, Thriller",6.5,Lars von Trier,131305,$0.40M,antichrist,2009.0,1.0,6.5,187.0,1.0,1.0,0.03225806451612903,0.0,1.0,0.0,0,11.785285756124198
Insidious: Chapter 2,2013,106,"Horror, Mystery, Thriller",6.5,James Wan,177423,$83.59M,insidious: chapter 2,2013.0,1.0,5.0,182.0,0.0,0.0,0.0,0.0,1.0,0.0,0,12.086297627192996
The Last House on the Left,2009,110,"Horror, Thriller",6.5,Dennis Iliadis,96680,$32.75M,the last house on the left,2009.0,3.0,8.0,2861.0,1.0,7.0,0.016872457932060582,1.0,0.0,0.0,0,11.479172178164838
The Night House,2020,107,"Horror, Mystery, Thriller",6.5,David Bruckner,60235,,the night house,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.00602545920671
Host II,2020,57,"Horror, Mystery",6.5,Rob Savage,34122,,host ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.437726922711134
Mandy I,2018,121,"Action, Fantasy, Horror",6.5,Panos Cosmatos,83932,$1.21M,mandy i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.337774140510511
The Girl Next Door,2007,91,"Crime, Drama, Horror",6.5,Gregory Wilson,27817,,the girl next door,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.233438572167076
Titane,2021,108,"Drama, Horror, Sci-Fi",6.5,Julia Ducournau,50494,,titane,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.829629600460658
Slither,2006,95,"Comedy, Horror, Sci-Fi",6.5,James Gunn,85847,$7.77M,slither,2006.0,1.0,8.0,262.0,1.0,2.0,0.046511627906976744,1.0,0.0,0.0,0,11.360333569606963
The Blair Witch Project,1999,81,"Horror, Mystery",6.5,Daniel Myrick,271349,$140.54M,the blair witch project,1999.0,1.0,5.0,932.0,1.0,3.0,0.018404907975460124,0.0,1.0,0.0,0,12.511164779491551
The Endless I,2017,111,"Drama, Fantasy, Horror",6.5,Justin Benson,46030,$0.27M,the endless i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.737070361537285
Oculus,2013,104,"Horror, Mystery, Thriller",6.5,Mike Flanagan,133932,$27.70M,oculus,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.805094953891366
The Howling,1981,91,Horror,6.5,Joe Dante,38157,$17.99M,the howling,1981.0,4.0,7.0,2068.75,1.0,10.0,0.032885612983036015,0.5,0.25,0.25,0,10.549490713287256
Annabelle: Creation,2017,109,"Horror, Mystery, Thriller",6.5,David F. Sandberg,141513,$102.09M,annabelle: creation,2017.0,4.0,5.5,1024.5,0.75,3.25,0.013102568723835396,0.0,1.0,0.0,0,11.860153931100527
