title,year,runtime_min,genre,imdb_rating,director,votes,Gross
Troll Hunter,2010,103,"Drama, Fantasy, Horror",6.9,André Øvredal,77389,$0.25M
Shadow of the Vampire,2000,92,"Drama, Horror",6.9,E. Elias Merhige,43072,$8.29M
Frankenweenie,2012,87,"Animation, Comedy, Drama",6.9,Tim Burton,112066,$35.29M
Bhoot Police,2021,129,"Comedy, Horror",6.9,Pavan Kirpalani,26993,
Nope,2022,130,"Horror, Mystery, Sci-Fi",6.8,Jordan Peele,232097,$123.28M
Bones and All,2022,131,"Drama, Horror, Romance",6.8,Luca Guadagnino,43064,
Ready or Not I,2019,95,"Action, Comedy, Horror",6.8,Matt Bettinelli-Olpin,164600,$28.71M
Insidious I,2010,103,"Horror, Mystery, Thriller",6.8,James Wan,319707,$54.01M
It Follows,2014,100,"Horror, Mystery, Thriller",6.8,David Robert Mitchell,253503,$14.67M
Annihilation I,2018,115,"Adventure, Drama, Horror",6.8,Alex Garland,340306,$32.73M
Sinister,2012,110,"Horror, Mystery, Thriller",6.8,Scott Derrickson,264038,$48.09M
Us II,2019,116,"Horror, Mystery, Thriller",6.8,Jordan Peele,316383,$175.08M
The House That Jack Built,2018,152,"Crime, Drama, Horror",6.8,Lars von Trier,83053,$0.09M
The Babadook,2014,94,"Horror, Mystery",6.8,Jennifer Kent,234393,$0.92M
The Autopsy of Jane Doe,2016,86,"Horror, Mystery, Thriller",6.8,André Øvredal,127065,$0.01M
Warm Bodies,2013,98,"Comedy, Horror, Romance",6.8,Jonathan Levine,236475,$66.38M
Hellboy,2004,122,"Action, Adventure, Fantasy",6.8,Guillermo del Toro,338908,$59.62M
Odd Thomas,2013,97,"Comedy, Fantasy, Horror",6.8,Stephen Sommers,55393,
Exam,2009,101,"Crime, Horror, Mystery",6.8,Stuart Hazeldine,120312,
1408,2007,104,"Fantasy, Horror, Mystery",6.8,Mikael Håfström,282365,$71.99M
The Fog,1980,89,"Horror, Thriller",6.8,John Carpenter,78302,$21.38M
Creepshow,1982,120,"Comedy, Fantasy, Horror",6.8,George A. Romero,50496,$21.03M
Ginger Snaps,2000,108,"Drama, Fantasy, Horror",6.8,John Fawcett,49563,$0.00M
The Witches,1990,91,"Adventure, Comedy, Family",6.8,Nicolas Roeg,52433,$10.36M
eXistenZ,1999,97,"Horror, Mystery, Sci-Fi",6.8,David Cronenberg,103653,$2.84M
Dog Soldiers,2002,105,"Action, Horror, Thriller",6.8,Neil Marshall,62964,
Dead Calm,1989,96,"Horror, Thriller",6.8,Phillip Noyce,42222,$7.83M
Shin Godzilla,2016,120,"Action, Drama, Horror",6.8,Hideaki Anno,29845,$1.92M
Zombie,1979,91,Horror,6.8,Lucio Fulci,29370,
The Brood,1979,92,"Horror, Sci-Fi",6.8,David Cronenberg,32397,
Night of the Living Dead,1990,92,Horror,6.8,Tom Savini,43906,$5.84M
House on Haunted Hill,1959,75,"Crime, Horror, Mystery",6.8,William Castle,29039,
Stonehearst Asylum,2014,112,"Drama, Horror, Mystery",6.8,Brad Anderson,58532,
Under the Shadow,2016,84,"Drama, Fantasy, Horror",6.8,Babak Anvari,28891,$0.03M
Dead Snow 2: Red vs. Dead,2014,100,"Action, Comedy, Fantasy",6.8,Tommy Wirkola,25807,
Evil Dead Rise,2023,96,Horror,6.7,Lee Cronin,78836,
Suspiria I,2018,152,"Drama, Fantasy, Horror",6.7,Luca Guadagnino,84786,$2.47M
Eden Lake,2008,91,"Horror, Thriller",6.7,James Watkins,89408,$0.01M
Final Destination,2000,98,"Horror, Thriller",6.7,James Wong,266158,$53.33M
Fresh,2022,114,"Horror, Thriller",6.7,Mimi Cave,63592,
Zombieland: Double Tap,2019,99,"Action, Comedy, Horror",6.7,Ruben Fleischer,189496,$73.12M
The Devil's Rejects,2005,107,"Crime, Horror, Western",6.7,Rob Zombie,103048,$17.04M
Pandorum,2009,108,"Action, Horror, Mystery",6.7,Christian Alvart,155042,$10.33M
Christine,1983,110,"Horror, Thriller",6.7,John Carpenter,87453,$21.20M
Marrowbone,2017,110,"Adventure, Drama, Horror",6.7,Sergio G. Sánchez,35303,$0.00M
The Gift,2000,111,"Drama, Fantasy, Horror",6.7,Sam Raimi,72059,$12.01M
Blade II,2002,117,"Action, Horror, Sci-Fi",6.7,Guillermo del Toro,225970,$82.35M
High Tension,2003,91,Horror,6.7,Alexandre Aja,74795,$3.68M
Candyman,1992,99,"Horror, Thriller",6.7,Bernard Rose,95591,$25.79M
Return to Oz,1985,113,"Adventure, Family, Fantasy",6.7,Walter Murch,28909,
Saint Maud,2019,84,"Drama, Horror, Mystery",6.7,Rose Glass,41913,
From Hell,2001,122,"Horror, Mystery, Thriller",6.7,Albert Hughes,159793,$31.60M
Fear Street: Part Two - 1978,2021,109,"Drama, Horror, Mystery",6.7,Leigh Janiak,69358,
Scanners,1981,103,"Horror, Sci-Fi, Thriller",6.7,David Cronenberg,58736,$14.23M
The Exorcism of Emily Rose,2005,119,"Drama, Horror, Thriller",6.7,Scott Derrickson,134571,$75.07M
Summer of 84,2018,105,"Drama, Horror, Mystery",6.7,François Simard,43321,$0.09M
Inside,2007,82,Horror,6.7,Alexandre Bustillo,42811,
Trick 'r Treat,2007,82,"Comedy, Horror",6.7,Michael Dougherty,97225,
Phenomena,1985,116,"Crime, Horror, Mystery",6.7,Dario Argento,28456,
Where the Wild Things Are,2009,101,"Adventure, Drama, Family",6.7,Spike Jonze,106812,$77.23M
Goodnight Mommy,2014,99,"Horror, Mystery, Thriller",6.7,Severin Fiala,57113,$1.17M
Spring I,2014,109,"Horror, Romance, Sci-Fi",6.7,Justin Benson,29941,$0.05M
Tales from the Crypt: Demon Knight,1995,92,"Action, Fantasy, Horror",6.7,Ernest R. Dickerson,25144,$21.09M
Ju-on: The Grudge,2002,92,Horror,6.7,Takashi Shimizu,46324,$0.33M
Turbo Kid,2015,93,"Action, Adventure, Comedy",6.7,François Simard,28926,$0.05M
Cronos,1992,94,"Drama, Fantasy, Horror",6.7,Guillermo del Toro,31873,$0.62M
Housebound,2014,107,"Comedy, Horror, Mystery",6.7,Gerard Johnstone,36448,
Dark Water,2002,101,"Drama, Horror, Mystery",6.7,Hideo Nakata,33695,
Los ojos de Julia,2010,118,"Horror, Mystery, Thriller",6.7,Guillem Morales,36473,
Fido,2006,93,"Comedy, Drama, Horror",6.7,Andrew Currie,29699,$0.30M
X II,2022,105,"Horror, Mystery, Thriller",6.6,Ti West,132694,
Scream VI,2023,122,"Horror, Mystery, Thriller",6.6,Matt Bettinelli-Olpin,81797,
The Pale Blue Eye,2022,128,"Crime, Horror, Mystery",6.6,Scott Cooper,107713,
Bird Box,2018,124,"Horror, Mystery, Sci-Fi",6.6,Susanne Bier,360116,
Mother!,2017,121,"Drama, Horror, Mystery",6.6,Darren Aronofsky,236605,$17.80M
